time,az (m/s^2)
0.750462,0.0201
0.75191,-0.3747
0.755291,-0.3388
0.757645,-0.1664
0.760977,-0.2215
0.762272,-0.1522
0.765554,0.2665
0.767194,0.635
0.771344,0.4723
0.771817,0.1133
0.775907,-0.0398
0.778274,0.0392
0.780363,-0.1043
0.78142,-0.2551
0.786299,-0.0805
0.787034,0.3359
0.789857,0.4436
0.795721,0.2019
0.796333,0.056
0.796789,0.1062
0.800993,-0.0588
0.801593,-0.3197
0.80486,-0.2504
0.805914,0.1445
0.819712,0.379
0.820563,0.2425
0.821098,0.1755
0.821486,0.276
0.821857,0.2115
0.822227,-0.1498
0.822579,-0.3556
0.83048,-0.1378
0.831193,0.0991
0.831649,0.1158
0.832074,0.0583
0.834397,0.3071
0.837408,0.4531
0.842251,0.1875
0.84306,-0.1427
0.845566,-0.1738
0.850205,-0.0445
0.851192,-0.1522
0.851716,-0.1953
0.853848,0.0727
0.859185,0.3934
0.859987,0.3192
0.862044,0.0822
0.867442,0.0463
0.868274,0.1469
0.868766,0.0249
0.870894,-0.1546
0.875703,-0.0805
0.876448,0.2737
0.878239,0.2904
0.882297,0.0631
0.883098,-0.0303
0.88731,0.1062
0.887871,0.0679
0.894859,-0.1546
0.895299,-0.1499
0.896401,0.1325
0.898918,0.2521
0.901453,0.1229
0.902435,0.0726
0.907062,0.2975
0.907495,0.3526
0.910639,0.087
0.913001,-0.0973
0.916219,-0.0086
0.917977,0.0991
0.919753,-0.109
0.924511,-0.2311
0.924947,0.044
0.929833,0.3407
0.930284,0.2881
0.932009,0.075
0.934553,0.1181
0.936746,0.2067
0.941012,-0.0277
0.94198,-0.3029
0.946148,-0.2288
0.946613,0.0536
0.950583,0.1254
0.95372,0.0679
0.956153,0.2401
0.956906,0.4675
0.960004,0.3789
0.963079,0.0295
0.964046,-0.1308
0.966216,-0.0278
0.968841,-0.0565
0.971412,-0.236
0.974879,-0.169
0.975613,0.2162
0.979696,0.4077
0.980422,0.2593
0.985009,0.1324
0.985634,0.1899
0.989704,0.1062
0.990281,-0.236
0.99438,-0.3126
0.994995,0.0009
0.998841,0.3479
1.001745,0.3024
1.00445,0.1899
1.005102,0.2162
1.009606,0.2044
1.01019,-0.1019
1.01349,-0.3675
1.014597,-0.2574
1.0185,0.0561
1.021181,0.1111
1.029425,0.0727
1.030089,0.2115
1.030477,0.3575
1.030819,0.1613
1.032845,-0.1187
1.033474,-0.0948
1.038452,0.1326
1.039205,0.1015
1.043983,-0.102
1.044846,-0.0565
1.045978,0.2139
1.049385,0.2857
1.051979,0.1229
1.053066,0.1037
1.058643,0.2832
1.059508,0.2473
1.060824,-0.1116
1.064088,-0.2887
1.066289,-0.0829
1.067607,0.0488
1.070468,-0.023
1.075567,0.0104
1.076358,0.3023
1.077419,0.3909
1.079882,0.1085
1.083037,-0.1332
1.084902,-0.0064
1.08711,0.2114
1.09259,0.0774
1.093547,-0.0638
1.095859,0.0487
1.09816,0.2162
1.101088,0.0703
1.101479,-0.169
1.10523,-0.0566
1.109339,0.2091
1.109766,0.1564
1.112263,-0.0112
1.114165,0.051
1.116515,0.2472
1.120343,0.13
1.122946,-0.0998
1.128685,-0.0376
1.129048,0.2376
1.129321,0.2568
1.130714,0.015
1.134213,-0.0472
1.136181,0.1442
1.138796,0.1323
1.141669,-0.0759
1.143697,-0.1047
1.146328,0.1394
1.148646,0.2495
1.151161,0.0772
1.153479,-0.0209
1.157445,0.1466
1.157777,0.2256
1.161737,-0.0209
1.162694,-0.1645
1.164867,0.0341
1.171433,0.2232
1.171769,0.0844
1.176932,-0.0449
1.177336,0.0963
1.177769,0.2734
1.179273,0.1203
1.182392,-0.0664
1.18542,0.0269
1.188522,0.2208
1.188925,0.082
1.191646,-0.0998
1.194863,-0.0185
1.197055,0.1897
1.19941,0.027
1.201394,-0.1955
1.203417,-0.1286
1.206625,0.1323
1.209771,0.1897
1.211845,0.0461
1.213524,0.1035
1.215678,0.3428
1.218337,0.3069
1.221915,-0.0305
1.226487,-0.21
1.228928,-0.0472
1.229475,0.0509
1.230654,-0.0568
1.23398,0.0149
1.236637,0.3116
1.238648,0.4409
1.242297,0.1728
1.242766,-0.0832
1.24997,0.0053
1.250477,0.082
1.250806,-0.1262
1.253849,-0.2172
1.256299,0.0437
1.261143,0.2973
1.261751,0.2184
1.264215,0.058
1.265845,0.1346
1.266839,0.271
1.272892,0.082
1.273498,-0.2171
1.277945,-0.1453
1.278535,0.0797
1.280195,0.0462
1.282875,-0.064
1.286537,0.0748
1.287043,0.3308
1.293054,0.2998
1.293622,-0.0066
1.294044,-0.0712
1.296817,0.1226
1.299783,0.1203
1.300989,-0.064
1.306698,-0.0617
1.307227,0.2374
1.311323,0.2973
1.31195,0.0508
1.314855,-0.088
1.315484,0.0892
1.318542,0.1371
1.320754,-0.0161
1.329592,-0.0808
1.335083,0.113
1.33552,0.2375
1.335913,0.0532
1.336271,-0.0689
1.336707,0.113
1.339015,0.247
1.345553,0.0556
1.346531,-0.1358
1.347277,-0.0042
1.347917,0.2112
1.349677,0.1346
1.352902,0.0053
1.354316,0.0986
1.359206,0.2877
1.359912,0.1537
1.363233,-0.1263
1.36399,-0.0904
1.367289,0.1417
1.368424,0.125
1.375743,-0.0449
1.376718,0.0148
1.377245,0.2302
1.378478,0.2111
1.381665,-0.0474
1.383693,-0.1383
1.387188,0.0914
1.392485,0.1895
1.393496,0.0076
1.393961,0.0579
